States/UT,Required - [R],Sanctioned - [S],In Position - [P],Vacant - [S-P],Shortfall - [R-P],Note of State/ UT,Note of Vacant - [S-P],Note of Shortfall - [R-P],"Total Number of SNCU (up to January, 2020)",2017-18 - Total Central Allocation,2017-18 - Central Release - NRLM,2017-18 - Central Release - NRLP,2017-18 - Expenditure*,2018-19** - Total Central Allocation,2018-19** - Central Releases (NRLM),2018-19** - Expenditure *,2019-20 - Total Central Allocation,2019-20 - Central Releases (NRLM) Upto Oct. 2019,2019-20 - Expenditure * Upto Aug.2019,*Mobile Medical Units (MMUs) Operational,National Health Mission - 2015-16,National Health Mission - 2016-17,National AIDS Control Programme - 2015-16,National AIDS Control Programme - 2016-17,Dial 108,Dial 102/104,Other patients transport vehicle,Total Ambulance under NHM,State Ambulances,Amount Approved in 2014-15 ( Rs. in Lakhs),Total ASHAs,SubCenters_x,PHCs_x,CHCs_x,ANM/Health_Worker_Female_x,Doctors_x,Specialists_x,Radiographers_x,Pharmacists_x,LabTechinicians,NursingStaff_x,SubCenters_y,PHCs_y,CHCs_y,ANM/Health_Worker_Female_y,Doctors_y,Specialists_y,Radiographers_y,Pharmacists_y,LabTechnicians_x,NursingStaff_y,ANM_Vacent,ANM_Shortfall,Doctors_Vacent,Doctors_Shortfall,Specialists_Vacent,Specialists_Shortfall,Radiographers_Vacent,Radiographers_Shortfall,Pharmacists_Vacent,Pharmacists_Shortfall,LabTechnicians_Vacent,LabTechnicians_Shortfall,NursingStaff_Vacent,Nursing_Shortfall,SubCenters,PHCs,CHCs,ANM/Health_Worker_Female,Doctors,Specialists,Radiographers,Pharmacists,LabTechnicians_y,NursingStaff,Rural_Population,Rural_Population_Density,Urban_Population,Urban_Population_Density,Total_Population,Total_Population_Density,Rural_Population_%,Tribal_Area,Rural_Area,Urban_Area,Total_Area,Rural_%,Number_of_Districts,Number_of_Villages
Haryana,366,687.0,429,258.0,,,,*,29,2359.27,2282.54,0.0,3526.99,3279.64,3181.56,1997.12,4526.82,2263.41,1446.34,9,493.23,510.0,16.1,16.13,352,0,0,352,0,1171.42,19880,2433,408,72,2818,862,49,106,464,231,1160,2604,379,115,4606,542,15,54,430,356,2110,803,*,275,*,108,445.0,71,80,251,98,271,103,728,*,2617,385,118,4534,491,27,38,405,400,2193,6608000,119.0,754000,2784,7362000,132,89.8,23695.0,55402.18,270.82,55673,99.51,12,21204
Himachal Pradesh,538,636.0,492,144.0,46.0,,,,15,993.58,748.78,0.0,590.92,1381.18,690.59,1058.93,1906.41,953.21,195.58,0,281.26,343.39,7.71,9.7,198,126,0,324,138,353.76,32374,2068,439,66,1790,467,0,54,375,462,1259,2089,586,87,1845,486,5,24,293,78,404,617,992,251,93,*,319.0,12,59,212,138,191,601,216,917,2092,564,85,1664,471,21,26,511,48,242,9357000,58.0,3983000,3197,13340000,82,70.1,,161844.1,1245.9,163090,99.24,20,6854
Jammu & Kashmir,637,1347.0,704,643.0,,,,*,27,1227.8,6590.53,0.0,7165.13,1709.4,5854.7,7873.31,2359.46,1179.73,569.37,11,420.94,414.43,8.99,6.74,0,331,0,331,712,1704.78,11916,1879,334,70,1588,643,142,61,456,395,68,3025,622,84,4908,919,242,226,1235,901,1513,489,*,537,*,91,78.0,57,*,231,*,122,118,430,77,2470,923,77,4511,940,230,208,1058,882,1385,28313000,365.0,9802000,4359,38115000,478,74.3,40795.16,77467.12,2248.88,79716,97.18,24,32712
Jharkhand,297,569.0,331,238.0,,,,*,19,9556.09,8907.35,4396.6,20366.2,13283.99,12512.08,22200.86,18335.62,17557.93,9084.02,94,590.18,570.6,13.29,11.7,149,0,2581,2730,271,158.33,41199,4462,561,47,0,0,0,0,0,0,0,3848,298,171,6325,336,66,59,241,264,1190,396,*,108,69,160,505.0,66,49,163,234,181,98,1025,600,3848,291,171,6010,222,179,122,228,364,888,37815000,204.0,28681000,4774,66496000,347,56.9,20662.0,185783.46,6007.54,191791,96.87,30,34334
Karnataka,2359,2359.0,2136,223.0,223.0,,,,42,8044.95,4022.48,582.44,5393.14,11183.34,10297.26,4965.86,15436.13,7718.07,181.57,12,1141.61,1268.33,61.64,72.97,711,0,200,911,627,1470.95,39497,8143,1681,254,8544,2041,691,30,1880,1451,3100,9758,2127,198,8462,2111,465,167,1973,1469,3511,4377,*,252,105,247,504.0,30,67,618,616,197,640,*,*,9188,2176,189,13371,2071,252,122,1749,1725,4741,10777000,345.0,24591000,3236,35368000,910,30.5,,31253.2,7598.8,38852,80.44,14,1664
Kerala,849,1120.0,1169,,,,*,*,17,3609.74,5004.07,0.0,5463.76,5017.93,6925.01,11000.51,6926.15,3463.08,1499.59,25,632.88,737.69,22.76,26.79,43,0,0,43,447,2087.58,29935,5094,911,106,5565,949,82,16,858,358,2578,5380,848,227,7504,1531,35,0,1299,372,2427,277,277,209,*,19,671.0,4,199,116,221,22,430,224,501,5410,784,211,5917,1028,173,12,774,565,1760,210000,4.0,86000,N App,296000,5,70.9,59146.0,59146.0,0.0,59146,100.0,2,243
Lakshadweep,4,8.0,8,0.0,,,,*,2,100.0,50.0,0.0,0.0,100.0,50.0,0.0,200.0,0.0,0.0,0,2.72,4.32,0.22,0.17,0,0,0,0,14,69.3,105,14,4,3,22,4,0,3,11,7,13,14,4,3,47,8,0,5,16,13,54,0,*,0,*,0,4.0,0,*,0,*,0,*,0,*,11,4,3,40,10,8,5,20,18,63,3000,373.0,65000,2961,68000,2267,4.4,0.0,8.05,21.95,30,26.83,1,27
Madhya Pradesh,1171,1771.0,954,817.0,217.0,,,,54,12058.92,10596.52,5082.96,22451.62,16763.19,8381.6,31968.82,23237.89,11618.95,12135.12,74,2046.6,1956.84,33.52,35.17,606,740,0,1346,0,1715.4,73466,8874,1192,229,9345,839,49,0,216,386,902,10226,1199,309,11824,1053,104,214,1383,1021,2816,817,*,460,134,986,1190.0,126,126,185,185,685,685,509,509,10226,1199,309,12087,1065,46,183,1323,823,2853,59718000,199.0,24037000,3103,83755000,272,71.3,93000.0,300505.59,7746.41,308252,97.49,51,55910
Maharashtra,1814,3009.0,2929,80.0,,,,*,51,15902.89,15093.06,5731.58,30305.32,22106.73,29977.34,41804.17,30513.46,15256.73,11500.0,40,1734.44,1773.47,98.02,108.04,937,2674,0,3611,3461,1462.31,68828,10453,1780,382,10699,3158,1099,159,2055,1709,2575,10668,1828,364,21753,2951,485,107,1825,1436,2698,1962,*,739,*,159,713.0,32,174,247,149,544,533,669,610,10647,1829,278,12804,2848,399,104,1958,1574,3165,64555000,216.0,59121000,6508,123676000,402,52.2,50757.0,298628.75,9084.25,307713,97.05,35,44345
Manipur,85,238.0,194,44.0,,,,*,5,920.0,834.93,0.0,779.64,3091.94,1545.97,200.0,5447.25,0.0,742.99,9,105.51,78.99,17.88,31.94,0,43,0,43,24,455.26,4090,420,72,16,463,67,19,5,88,30,62,490,90,23,1044,208,3,56,161,75,430,*,*,*,*,20,64.0,1,8,*,*,*,*,2,*,418,85,17,1002,311,4,9,152,112,336,2145000,97.0,997000,5554,3142000,141,68.3,,22147.5,179.5,22327,99.2,9,3932
